| All HIDL binderized services (registered with hwservicemanager)
VINTF    R Interface                                                                                              Thread Use Server Clients
X        Y android.hidl.base@1.0::IBase/eSE1                                                                      0/2        1345   
X        Y android.hidl.base@1.0::IBase/imsrtpservice                                                             0/2        1873   
X        Y android.hidl.base@1.0::IBase/pasrhal                                                                   0/1        1330   
X        Y android.hidl.base@1.0::IBase/qccsyshal                                                                 0/3        1172   
X        Y android.hidl.base@1.0::IBase/qccvndhal                                                                 0/1        1937   
X        Y android.hidl.base@1.0::IBase/qtee-vm                                                                   0/1        1307   
X        Y android.hidl.base@1.0::IBase/qti-tee                                                                   0/1        1297   
X        Y android.hidl.base@1.0::IBase/qti.ims.connectionmanagerservice                                          0/1        1874   
X        Y android.hidl.base@1.0::IBase/software                                                                  0/18       1911   
X        Y android.hidl.base@1.0::IBase/strongbox                                                                 0/1        782    
X        Y android.hidl.base@1.0::IBase/vppService                                                                0/3        1348   
X        Y android.hidl.base@1.0::IBase/wfdhdcp                                                                   0/3        19771  
X        Y android.hidl.base@1.0::IBase/wifidisplaysession                                                        0/3        1866   
X        Y android.hidl.base@1.0::IBase/wifidisplaysessionaudiotrack                                              0/3        1866   
X        Y android.hidl.base@1.0::IBase/wifidisplaysessionimagetrack                                              0/3        1866   
X        Y android.hidl.base@1.0::IBase/wifidisplaysessionvideotrack                                              0/3        1866   
DC,FM    Y android.hidl.manager@1.0::IServiceManager/default                                                      1/1        741    
FM       Y android.hidl.manager@1.1::IServiceManager/default                                                      1/1        741    
FM       Y android.hidl.manager@1.2::IServiceManager/default                                                      1/1        741    
DC,FM    Y android.hidl.token@1.0::ITokenManager/default                                                          1/1        741    
FM       Y android.system.net.netd@1.0::INetd/default                                                             0/1        1855   
FM       Y android.system.net.netd@1.1::INetd/default                                                             0/1        1855   
DC,FM    Y android.system.wifi.keystore@1.0::IKeystore/default                                                    0/1        1786   
DM,FC    Y com.dsi.ant@1.0::IAnt/default                                                                          0/1        1174   
DM,FC    Y com.qualcomm.qti.dpm.api@1.0::IdpmQmi/dpmQmiService                                                    0/1        1827   
DM,FC    Y com.qualcomm.qti.imscmservice@2.0::IImsCmService/qti.ims.connectionmanagerservice                      0/1        1874   
DM,FC    Y com.qualcomm.qti.imscmservice@2.1::IImsCmService/qti.ims.connectionmanagerservice                      0/1        1874   
DM,FC    Y com.qualcomm.qti.imscmservice@2.2::IImsCmService/qti.ims.connectionmanagerservice                      0/1        1874   
DM,FC    Y com.qualcomm.qti.uceservice@2.0::IUceService/com.qualcomm.qti.uceservice                               0/1        1874   
DM,FC    Y com.qualcomm.qti.uceservice@2.1::IUceService/com.qualcomm.qti.uceservice                               0/1        1874   
DM,FC    Y com.qualcomm.qti.uceservice@2.2::IUceService/com.qualcomm.qti.uceservice                               0/1        1874   
DM,FC    Y com.qualcomm.qti.uceservice@2.3::IUceService/com.qualcomm.qti.uceservice                               0/1        1874   
DM,FC    Y vendor.display.config@2.0::IDisplayConfig/default                                                      0/4        1281   
